Q02127 CHEMBL1966
P00797 CHEMBL286
P10826 CHEMBL2008
P60568 CHEMBL5880
P27815 CHEMBL254
P25786 CHEMBL4879432
P30531 CHEMBL1903
P20711 CHEMBL1843
Q8NBP7 CHEMBL2929
Q05586 CHEMBL2015
P34903 CHEMBL3026
P07101 CHEMBL1969
P42263 CHEMBL3595
P43405 CHEMBL2599
P23458 CHEMBL2835
P02768 CHEMBL3253
P30613 CHEMBL1075126
O00754 CHEMBL4059
P17405 CHEMBL2760
P11413 CHEMBL5347
P00519 CHEMBL1862
E0VDF4 CHEMBL2364023
Q08828 CHEMBL2899
P01563 CHEMBL3856161
P17948 CHEMBL1868
P43681 CHEMBL1882
P46098 CHEMBL1899
Q9Y5N1 CHEMBL264
O43497 CHEMBL4641
P35346 CHEMBL1792
P19235 CHEMBL1817
Q99527 CHEMBL5872
P51648 CHEMBL4295779
P04578 CHEMBL3520
P07327 CHEMBL1970
P00751 CHEMBL5731
P0AD65 CHEMBL1840
P30518 CHEMBL1790
P51151 CHEMBL1293294
Q99835 CHEMBL5971
P35354 CHEMBL230
Q02223 CHEMBL4523587
P14416 CHEMBL217
P31749 CHEMBL4282
P20309 CHEMBL245
Q03431 CHEMBL1793
O00329 CHEMBL3130
P11474 CHEMBL3429
P08253 CHEMBL333
P23945 CHEMBL2024
Q13547 CHEMBL325
P08922 CHEMBL5568
O43614 CHEMBL4792
Q14994 CHEMBL5503
O75874 CHEMBL2007625
Q16853 CHEMBL3437
Q02643 CHEMBL2032
Q8TCC7 CHEMBL1641348
P49763 CHEMBL1697671
P43681 CHEMBL1882
P60880 CHEMBL2364159
Q9Y271 CHEMBL1798
P16066 CHEMBL1988
Q9Y243 CHEMBL4816
P26951 CHEMBL3712987
P31213 CHEMBL1856
Q16637 CHEMBL1293232
P08235 CHEMBL1994
P51681 CHEMBL274
P32245 CHEMBL259
P14778 CHEMBL1959
P0AFI2 CHEMBL1895
P13726 CHEMBL4081
P11474 CHEMBL3429
P15509 CHEMBL2364169
P40989 CHEMBL3134
P11836 CHEMBL2058
P23921 CHEMBL1830
P09237 CHEMBL4073
P01008 CHEMBL1950
P39086 CHEMBL1918
Q7L0J3 CHEMBL1998
P07148 CHEMBL5421
P10613 CHEMBL1780
P04141 CHEMBL3712955
P36888 CHEMBL1974
Q03405 CHEMBL4883
P30556 CHEMBL227
Q9UK17 CHEMBL1964
P42345 CHEMBL2842
P20831 CHEMBL2424506
P30536 CHEMBL5742
P16083 CHEMBL3959
P43088 CHEMBL1987
Q92523 CHEMBL2216739
Q12882 CHEMBL3172
P09871 CHEMBL3913
P62942 CHEMBL1902
P21731 CHEMBL2069
P00439 CHEMBL3076
P23141 CHEMBL2265
Q13224 CHEMBL1904
P52209 CHEMBL3404
P31358 CHEMBL1912
P21554 CHEMBL218
P21964 CHEMBL2023
P49840 CHEMBL2850
Q9NY46 CHEMBL5163
P30044 CHEMBL3627586
P03897 CHEMBL2363065
P29274 CHEMBL251
P01579 CHEMBL3286073
P34981 CHEMBL1810
P35367 CHEMBL231
Q92206 CHEMBL1897
P05113 CHEMBL1169600
P30939 CHEMBL1805
P08908 CHEMBL214
P29597 CHEMBL3553
P9WGR1 CHEMBL1849
P37288 CHEMBL1889
P04818 CHEMBL1952
P22888 CHEMBL1854
P10827 CHEMBL1860
P53778 CHEMBL4674
P08912 CHEMBL2035
P42336 CHEMBL4005
P47870 CHEMBL1920
P17948 CHEMBL1868
Q92731 CHEMBL242
P35968 CHEMBL279
P31639 CHEMBL3884
P14735 CHEMBL1293287
P13631 CHEMBL2003
P08637 CHEMBL3856162
P30530 CHEMBL4895
P12821 CHEMBL1808
Q14643 CHEMBL4046
P03952 CHEMBL2000
P35222 CHEMBL5866
P01308 CHEMBL5881
P27338 CHEMBL2039
P19838 CHEMBL3251
Q8NER1 CHEMBL4794
P00740 CHEMBL2016
P15328 CHEMBL2121
P01911 CHEMBL3831291
P28335 CHEMBL225
P21397 CHEMBL1951
O75762 CHEMBL6007
P28566 CHEMBL2182
P04062 CHEMBL2179
P54289 CHEMBL1919
P30559 CHEMBL2049
Q16881 CHEMBL1927
P15538 CHEMBL1908
P00742 CHEMBL244
Q16620 CHEMBL4898
P55017 CHEMBL1876
P06213 CHEMBL1981
P10747 CHEMBL5191
Q02880 CHEMBL3396
P11802 CHEMBL331
Q969D9 CHEMBL3712931
P12931 CHEMBL267
Q96S37 CHEMBL6120
P02656 CHEMBL4523160
P02766 CHEMBL3194
P14324 CHEMBL1782
Q07869 CHEMBL239
Q8NBP7 CHEMBL2929
P03452 CHEMBL1075313
P29275 CHEMBL255
P25105 CHEMBL250
P05067 CHEMBL2487
P07766 CHEMBL1975
Q9Y2T6 CHEMBL1075322
P28908 CHEMBL2364161
P38435 CHEMBL2012
Q8TDS4 CHEMBL3785
P0AC13 CHEMBL2364668
P08185 CHEMBL2421
Q16236 CHEMBL1075094
Q14432 CHEMBL241
P00747 CHEMBL1801
P05093 CHEMBL3522
P12268 CHEMBL2002
Q00534 CHEMBL2508
Q9HBH1 CHEMBL4647
P18031 CHEMBL335
P03372 CHEMBL206
P14902 CHEMBL4685
Q01344 CHEMBL3580483
P22607 CHEMBL2742
P09252 CHEMBL4859
Q09428 CHEMBL2071
Q15303 CHEMBL3009
P30542 CHEMBL226
P41180 CHEMBL1878
Q16555 CHEMBL4295834
P48764 CHEMBL3273
O00418 CHEMBL5026
P35348 CHEMBL229
P20648 CHEMBL2095173
O43451 CHEMBL2074
P24530 CHEMBL1785
Q14534 CHEMBL3592
P08887 CHEMBL2364155
P04608 CHEMBL4011
Q8TDV5 CHEMBL5652
Q13621 CHEMBL1874
P00734 CHEMBL204
P16233 CHEMBL1812
P16724 CHEMBL3991482
Q06278 CHEMBL3257
P01130 CHEMBL3311
P18627 CHEMBL4630881
P29460 CHEMBL3580484
Q96PD7 CHEMBL5853
P06821 CHEMBL1932894
P48736 CHEMBL3267
P61073 CHEMBL2107
P11388 CHEMBL1806
P48058 CHEMBL3190
P08236 CHEMBL2728
P15692 CHEMBL1783
P14679 CHEMBL1973
Q04609 CHEMBL1892
P20645 CHEMBL5788
P01137 CHEMBL1795178
P13612 CHEMBL278
P48039 CHEMBL1945
P13569 CHEMBL4051
Q06203 CHEMBL2362992
P25092 CHEMBL1795197
Q9NQ25 CHEMBL3559386
P15289 CHEMBL2193
Q99062 CHEMBL1996
P10828 CHEMBL1947
P15056 CHEMBL5145
Q14973 CHEMBL5287
Q96RJ0 CHEMBL5857
P39051 CHEMBL1837
P00352 CHEMBL3577
P06276 CHEMBL1914
Q96BI3 CHEMBL2094135
Q9NZQ7 CHEMBL3580522
P43119 CHEMBL1995
P49674 CHEMBL4937
